True Wind Speed,4 kts,6 kts,8 kts,10 kts,12 kts,16 kts,20 kts,24 kts
52°,878.61,672.08,591.20,567.13,550.91,528.84,515.64,508.93
60°,815.97,633.07,567.79,545.51,529.57,507.24,492.17,483.20
75°,765.44,596.85,539.08,513.98,494.38,464.16,443.55,428.66
90°,722.98,566.74,515.74,483.07,457.26,419.21,391.06,371.74
110°,741.29,566.82,498.35,456.95,422.53,372.17,340.37,317.18
120°,765.92,585.72,515.04,456.78,413.16,355.97,321.33,298.32
135°,854.7,641.48,572.15,522.82,474.30,365.5,300.83,279.28
150°,1046.8,780.5,663.9,592.27,540.61,447.6,344.0,285.1
165°,1167.6,870.5,740.5,656.8,595.2,499.2,383.7,318.0
--
Opt Beat Angle,45.7,43.2,39.7,37.0,35.8,35.5,35.3,35.3
Beat VMG,1430.6,1039.6,856.8,801.2,774.2,742.0,722.3,713.9
Run VMG,1208.7,901.2,766.6,680.0,616.2,516.8,397.3,329.2
Opt Run Angle,132.5,137.1,145.1,154.9,160.0,133.3,139.1,145.1
